Time(s),Voltage(V)
0.014920000000000001,0.5054687500000001
0.014940000000000002,0.50078125
0.014960000000000001,0.5054687499999999
0.014980000000000002,0.5007812500000001
0.015000000000000001,0.5078125000000001
0.01502,0.4984374999999999
0.015040000000000001,0.50078125
0.01506,0.5054687499999999
0.015080000000000001,0.5078125000000001
0.0151,0.4984375
0.015120000000000001,0.50546875
0.01514,0.5007812500000001
0.015160000000000002,0.5078125
0.01518,0.4984374999999999
0.015200000000000002,0.5078125
0.015220000000000001,0.4984375
0.015240000000000002,0.5078125
0.015260000000000001,0.4984375
0.015280000000000002,0.5101562500000001
0.015300000000000001,0.49609374999999994
0.015320000000000002,0.5101562500000001
0.015340000000000001,0.49609375
0.015360000000000002,0.5078125
0.015380000000000001,0.4984374999999999
0.0154,0.50546875
0.015420000000000001,0.5007812500000001
0.01544,0.5101562500000001
0.015460000000000002,0.49609374999999994
0.01548,0.5078125000000001
0.015500000000000002,0.49921874999999993
0.01552,0.5125000000000001
0.015540000000000002,0.49374999999999997
0.015560000000000001,0.51015625
0.015580000000000002,0.496875
0.015600000000000001,0.5078125
0.015620000000000002,0.49921875
0.01564,0.5125000000000001
0.01566,0.49374999999999997
0.015680000000000003,0.5101562500000001
0.015700000000000002,0.49609375
0.01572,0.5078125
0.01574,0.49999999999999994
0.01576,0.5101562500000001
0.015780000000000002,0.49687499999999996
0.0158,0.5054687499999999
0.01582,0.503125
0.01584,0.5125000000000001
0.015860000000000003,0.49374999999999997
0.015880000000000002,0.5078125000000001
0.0159,0.5
0.01592,0.5101562500000001
0.015940000000000003,0.49687499999999996
0.015960000000000002,0.5078125
0.01598,0.5
0.016,0.5109375
0.016020000000000003,0.496875
0.016040000000000002,0.51328125
0.01606,0.49374999999999997
0.01608,0.50859375
0.0161,0.49921875000000004
0.016120000000000002,0.51171875
0.01614,0.496875
0.01616,0.503125
0.01618,0.5062500000000001
0.016200000000000003,0.5054687499999999
0.016220000000000002,0.503125
0.01624,0.5109375
0.01626,0.49687499999999996
0.016280000000000003,0.503125
0.016300000000000002,0.5062500000000001
0.01632,0.5015625
0.01634,0.509375
0.016360000000000003,0.51015625
0.016380000000000002,0.5
0.0164,0.50390625
0.01642,0.5054687499999999
0.01644,0.5078125
0.016460000000000002,0.5015625
0.01648,0.50234375
0.0165,0.509375
0.01652,0.50390625
0.016540000000000003,0.50546875
0.016560000000000002,0.49921875
0.01658,0.5125
0.0166,0.5078125
0.016620000000000003,0.5031249999999999
0.016640000000000002,0.5015625
0.01666,0.50859375
0.01668,0.50234375
0.016700000000000003,0.5085937500000001
0.016720000000000002,0.5015625
0.01674,0.509375
0.01676,0.4984375
0.01678,0.51171875
0.016800000000000002,0.49921875000000004
0.01682,0.5125
0.01684,0.49687499999999996
0.01686,0.515625
0.016880000000000003,0.503125
0.016900000000000002,0.509375
0.01692,0.5031249999999999
0.01694,0.509375
0.016960000000000003,0.49921875
0.016980000000000002,0.5125000000000001
0.017,0.49453125
0.01702,0.51796875
0.017040000000000003,0.49687499999999996
0.017060000000000002,0.5148437499999999
0.01708,0.49765625
0.0171,0.515625
0.01712,0.5031249999999999
0.017140000000000002,0.50859375
0.01716,0.5
0.01718,0.5125000000000001
0.0172,0.49921875000000004
0.017220000000000003,0.5125
0.017240000000000002,0.49765624999999997
0.01726,0.515625
0.01728,0.50390625
0.017300000000000003,0.5093749999999999
0.017320000000000002,0.49453125
0.01734,0.51796875
0.01736,0.5070312499999999
0.017380000000000003,0.5062500000000001
0.017400000000000002,0.49765624999999997
0.01742,0.515625
0.01744,0.49765625
0.01746,0.515625
0.017480000000000002,0.4984375
0.0175,0.515625
0.01752,0.49921875
0.01754,0.5156249999999999
0.017560000000000003,0.5015625
0.017580000000000002,0.5125
0.0176,0.50078125
0.01762,0.5125000000000001
0.017640000000000003,0.49609374999999994
0.017660000000000002,0.5187499999999999
0.01768,0.5
0.0177,0.5125
0.017720000000000003,0.50078125
0.017740000000000002,0.5125
0.01776,0.49453125
0.01778,0.5187499999999999
0.0178,0.5046875
0.017820000000000003,0.509375
0.01784,0.49765625
0.01786,0.515625
0.01788,0.5
0.017900000000000003,0.5125
0.017920000000000002,0.50078125
0.01794,0.5117187500000001
0.01796,0.5046875000000001
0.017980000000000003,0.509375
0.018000000000000002,0.5007812500000001
0.01802,0.5125
0.01804,0.5007812500000001
0.018060000000000003,0.5125
0.018080000000000002,0.5015625
0.0181,0.5125000000000001
0.01812,0.50078125
0.01814,0.5125000000000001
0.018160000000000003,0.49609374999999994
0.01818,0.5187499999999999
0.0182,0.49921874999999993
0.01822,0.5156249999999999
0.018240000000000003,0.5015625
0.018260000000000002,0.509375
0.01828,0.49765625
0.0183,0.515625
0.018320000000000003,0.5085937500000001
0.018340000000000002,0.503125
0.01836,0.49374999999999997
0.01838,0.5187499999999999
0.018400000000000003,0.49921874999999993
0.018420000000000002,0.5125
0.01844,0.49453125
0.01846,0.5187499999999999
0.01848,0.5007812500000001
0.018500000000000003,0.5125
0.018520000000000002,0.49921875
0.01854,0.515625
0.01856,0.50546875
0.018580000000000003,0.50625
0.018600000000000002,0.5031249999999999
0.01862,0.509375
0.01864,0.5031249999999999
0.018660000000000003,0.5101562500000001
0.018680000000000002,0.50625
0.0187,0.50625
0.01872,0.503125
0.018740000000000003,0.509375
0.018760000000000002,0.5023437500000001
0.01878,0.509375
0.0188,0.49687499999999996
0.01882,0.51484375
0.018840000000000003,0.50546875
0.018860000000000002,0.5062500000000001
0.01888,0.50625
0.0189,0.50625
0.018920000000000003,0.49921875000000004
0.018940000000000002,0.5125
0.01896,0.503125
0.01898,0.50859375
0.019000000000000003,0.5171875
0.019020000000000002,-0.52734375
0.01904,-0.5
0.01906,-0.5187499999999999
0.019080000000000003,-0.5093749999999999
0.019100000000000002,-0.509375
0.01912,-0.51171875
0.01914,-0.50703125
0.01916,-0.5187499999999999
0.019180000000000003,-0.5
0.019200000000000002,-0.5187499999999999
0.01922,-0.5
0.01924,-0.5140625
0.019260000000000003,-0.5046875
0.019280000000000002,-0.5187499999999999
0.0193,-0.5
0.01932,-0.51640625
0.019340000000000003,-0.50234375
0.019360000000000002,-0.51640625
0.01938,-0.50234375
0.0194,-0.5187499999999999
0.019420000000000003,-0.5
0.019440000000000002,-0.5187499999999999
0.01946,-0.5
0.01948,-0.51640625
0.0195,-0.50234375
0.019520000000000003,-0.5187499999999999
0.019540000000000002,-0.5
0.01956,-0.5187499999999999
0.01958,-0.5
0.019600000000000003,-0.51640625
0.019620000000000002,-0.50234375
0.01964,-0.5187499999999999
0.01966,-0.5
0.019680000000000003,-0.5187499999999999
0.019700000000000002,-0.5
